check_id,status,expected,observed
experiment_id,PASS,exp2_logged_attribution_sensitivity,exp2_logged_attribution_sensitivity
source_time_action_unit,PASS,campaign_source_day_cell,campaign_source_day_cell
action_definition_is_campaign_source_day,PASS,action_id = campaign x source_day,"{'action_unit': 'campaign_source_day_cell', 'candidate_campaign_count_requested': 50, 'candidate_campaign_count_minimum': 20, 'min_conversion_rows_per_campaign': 100, 'source_time_bin': 'calendar_day', 'min_impressions_per_decision_cell': 50, 'minimum_eligible_decision_cells': 60, 'main_top_k': 10, 'sensitivity_top_k': [10, 20, 50]}"
main_top_k,PASS,main_top_k=10,10
main_cost_lambda_zero,PASS,primary credit summaries use cost_lambda=0,0.0
em_appendix_only,PASS,EM computed for diagnostic but omitted from main figure,"['arrival_bin_anchor', 'first_click', 'last_click', 'linear_attribution', 'time_decay_soft']"
run_status,PASS,"mode=full, status in ['success']","{'experiment_id': 'exp2_logged_attribution_sensitivity', 'mode': 'full', 'status': 'success', 'updated_at': '2026-06-23T01:06:21', 'expected_uid_bootstrap_replicates': 1000, 'input_file': '/home/ubuntu/crmd_df/code/Causal-Regret/github/exp2_real_delayed_conversion_logs/inputs/pcb_dataset_final.tsv', 'config_path': '/home/ubuntu/crmd_df/code/Causal-Regret/github/exp2_real_delayed_conversion_logs/.runtime/config_exp2_full.yaml', 'steps': [{'step': 'precheck', 'command': ['/home/ubuntu/crmd_df/code/Causal-Regret/github/exp2_real_delayed_conversion_logs/.venv/bin/python', 'run_precheck.py', '--config', '/home/ubuntu/crmd_df/code/Causal-Regret/github/exp2_real_delayed_conversion_logs/.runtime/config_exp2_full.yaml'], 'return_code': 0, 'started_at': '2026-06-23T00:29:39', 'finished_at': '2026-06-23T00:36:16'}, {'step': 'timeline', 'command': ['/home/ubuntu/crmd_df/code/Causal-Regret/github/exp2_real_delayed_conversion_logs/.venv/bin/python', 'construct_timeline.py', '--config', '/home/ubuntu/crmd_df/code/Causal-Regret/github/exp2_real_delayed_conversion_logs/.runtime/config_exp2_full.yaml'], 'return_code': 0, 'started_at': '2026-06-23T00:36:16', 'finished_at': '2026-06-23T00:41:31'}, {'step': 'route_assignment', 'command': ['/home/ubuntu/crmd_df/code/Causal-Regret/github/exp2_real_delayed_conversion_logs/.venv/bin/python', 'run_exp2.py', '--config', '/home/ubuntu/crmd_df/code/Causal-Regret/github/exp2_real_delayed_conversion_logs/.runtime/config_exp2_full.yaml'], 'return_code': 0, 'started_at': '2026-06-23T00:41:31', 'finished_at': '2026-06-23T00:46:45'}, {'step': 'statistics', 'command': ['/home/ubuntu/crmd_df/code/Causal-Regret/github/exp2_real_delayed_conversion_logs/.venv/bin/python', 'stats_exp2.py', '--config', '/home/ubuntu/crmd_df/code/Causal-Regret/github/exp2_real_delayed_conversion_logs/.runtime/config_exp2_full.yaml'], 'return_code': 0, 'started_at': '2026-06-23T00:46:45', 'finished_at': '2026-06-23T01:06:06'}, {'step': 'figures', 'command': ['/home/ubuntu/crmd_df/code/Causal-Regret/github/exp2_real_delayed_conversion_logs/.venv/bin/python', 'plot_exp2.py', '--config', '/home/ubuntu/crmd_df/code/Causal-Regret/github/exp2_real_delayed_conversion_logs/.runtime/config_exp2_full.yaml'], 'return_code': 0, 'started_at': '2026-06-23T01:06:06', 'finished_at': '2026-06-23T01:06:10'}, {'step': 'tables', 'command': ['/home/ubuntu/crmd_df/code/Causal-Regret/github/exp2_real_delayed_conversion_logs/.venv/bin/python', 'make_tables_exp2.py', '--config', '/home/ubuntu/crmd_df/code/Causal-Regret/github/exp2_real_delayed_conversion_logs/.runtime/config_exp2_full.yaml'], 'return_code': 0, 'started_at': '2026-06-23T01:06:10', 'finished_at': '2026-06-23T01:06:13'}, {'step': 'self_check', 'command': ['/home/ubuntu/crmd_df/code/Causal-Regret/github/exp2_real_delayed_conversion_logs/.venv/bin/python', 'self_check_exp2.py', '--config', '/home/ubuntu/crmd_df/code/Causal-Regret/github/exp2_real_delayed_conversion_logs/.runtime/config_exp2_full.yaml', '--mode', 'full', '--allow-running'], 'return_code': 0, 'started_at': '2026-06-23T01:06:13', 'finished_at': '2026-06-23T01:06:21'}, {'step': 'finalize_paper_result', 'command': ['/home/ubuntu/crmd_df/code/Causal-Regret/github/exp2_real_delayed_conversion_logs/.venv/bin/python', 'finalize_exp2.py', '--config', '/home/ubuntu/crmd_df/code/Causal-Regret/github/exp2_real_delayed_conversion_logs/.runtime/config_exp2_full.yaml'], 'return_code': 0, 'started_at': '2026-06-23T01:06:21', 'finished_at': '2026-06-23T01:06:21'}], 'finished_at': '2026-06-23T01:06:21', 'parallel': {'n_jobs': 'auto', 'host_logical_cpus': 32, 'resolved_bootstrap_workers': 4}}"
uid_integrity_audit,PASS,valid one-UID conversion journeys retained,rows=11
action_cell_universe,PASS,>=60 eligible cells,1546
top_k_non_degenerate,PASS,action universe > max top_k=50,1546
action_cell_universe_exceeds_max_top_k,PASS,action universe > max top_k=50,1546
main_cohort_uid_contract,PASS,one valid UID per main conversion,rows=145248
candidate_cohorts_present,PASS,main and audit cohorts,"['all_conversion_candidates', 'unique_labelled_conversion_candidates']"
main_cohort_has_nontrivial_multicell_journeys,PASS,main cohort has multi decision-cell journeys,0.2772499449217889
decision_cell_ambiguity_rate_above_threshold,PASS,>=0.01,0.2772499449217889
main_routes_present,PASS,"['arrival_bin_anchor', 'first_click', 'last_click', 'linear_attribution', 'soft_attribution_em', 'time_decay_soft']","['arrival_bin_anchor', 'click_prior_soft', 'first_click', 'last_click', 'last_touch', 'linear_attribution', 'soft_attribution_em', 'time_decay_soft', 'uniform_soft']"
source_reference_audit_only,PASS,no source-linked reference on main cohort,0
route_weights_normalized,PASS,route weights sum to one per conversion,1.4432899320127035e-15
arrival_anchor_diagnostic_status,PASS,constructed arrival anchor must be diagnostic/nondeployable,"[{'diagnostic_only': True, 'deployable': False}]"
