check_name,status,detail
all_python_files_compile,PASS,30 files
mode_isolation,PASS,runner clears isolated outputs/<mode>
missing_input_hard_failure,PASS,missing protected input exits non-zero
all_conversion_main_cohort,PASS,all conversion candidates use source-time decision cells
source_linked_audit_only,PASS,source-linked reference is restricted by semantic check
uid_bootstrap,PASS,UID-cluster percentile bootstrap implemented
main_figure_contract,PASS,main figure displays allocation TV point-range and top-10 overlap annotations
appendix_pairwise_overlap_figure,PASS,appendix uses pairwise TV and top-10 overlap heatmaps
appendix_diagnostics_as_tables,PASS,"source-linked, window, and EM diagnostics are tables"
no_replay_as_main_endpoint,PASS,deprecated temporal replay removed from formal pipeline
no_label_availability_leakage,PASS,Exp2 does not reuse invalid label-mask sensitivity
honest_estimand_language,PASS,configuration preserves observational estimand boundary
source_time_cell_design,PASS,source-time cells plus core-route scientific degeneracy gate
primary_metric_semantics,PASS,primary outcome is credited mass; cost-adjusted score is appendix-only
arrival_anchor_label,PASS,arrival anchor is explicitly diagnostic
paper_result_finalization_gate,PASS,full paper_result is promoted only after semantic self-check
deprecated_ids_removed_from_formal_code,PASS,no old Exp2 route or figure ids in formal code: []
figure_ids_snake_case,PASS,formal figure ids are snake_case: []
formal_latex_figure_interface_nonempty,PASS,"formal LaTeX figure interface contains required figure ids: ['fig_exp2_attribution_sensitivity', 'fig_app_exp2_source_route_pairwise_overlap']"
