method_id,feature,coefficient,ridge_alpha,fit_split,main_feature_fallback,delay_condition
short_term_ridge_proxy,intercept,2.6076118969200053,4.0,history_standard_only,completed_history_plus_earlier_main_bins_only,independent_matched_delay_pool
short_term_ridge_proxy,action_39,-0.035161655339126074,4.0,history_standard_only,completed_history_plus_earlier_main_bins_only,independent_matched_delay_pool
short_term_ridge_proxy,action_28,0.05748291205315681,4.0,history_standard_only,completed_history_plus_earlier_main_bins_only,independent_matched_delay_pool
short_term_ridge_proxy,action_9,0.05549832626089923,4.0,history_standard_only,completed_history_plus_earlier_main_bins_only,independent_matched_delay_pool
short_term_ridge_proxy,action_12,-0.05446632138621643,4.0,history_standard_only,completed_history_plus_earlier_main_bins_only,independent_matched_delay_pool
short_term_ridge_proxy,action_34,-0.09476652138312014,4.0,history_standard_only,completed_history_plus_earlier_main_bins_only,independent_matched_delay_pool
short_term_ridge_proxy,action_3,0.18786177071440768,4.0,history_standard_only,completed_history_plus_earlier_main_bins_only,independent_matched_delay_pool
short_term_ridge_proxy,action_11,-0.00914255168362299,4.0,history_standard_only,completed_history_plus_earlier_main_bins_only,independent_matched_delay_pool
short_term_ridge_proxy,action_6,0.05530963321312132,4.0,history_standard_only,completed_history_plus_earlier_main_bins_only,independent_matched_delay_pool
short_term_ridge_proxy,action_2,-0.11393013681803765,4.0,history_standard_only,completed_history_plus_earlier_main_bins_only,independent_matched_delay_pool
short_term_ridge_proxy,action_25,0.038720369862614845,4.0,history_standard_only,completed_history_plus_earlier_main_bins_only,independent_matched_delay_pool
short_term_ridge_proxy,action_19,-0.020971008848401418,4.0,history_standard_only,completed_history_plus_earlier_main_bins_only,independent_matched_delay_pool
short_term_ridge_proxy,action_20,0.2053221614324432,4.0,history_standard_only,completed_history_plus_earlier_main_bins_only,independent_matched_delay_pool
short_term_ridge_proxy,action_7,0.043447309440638904,4.0,history_standard_only,completed_history_plus_earlier_main_bins_only,independent_matched_delay_pool
short_term_ridge_proxy,action_1,-0.13328840246569618,4.0,history_standard_only,completed_history_plus_earlier_main_bins_only,independent_matched_delay_pool
short_term_ridge_proxy,action_5,-0.14737827950839666,4.0,history_standard_only,completed_history_plus_earlier_main_bins_only,independent_matched_delay_pool
short_term_ridge_proxy,action_8,-0.11840307663586724,4.0,history_standard_only,completed_history_plus_earlier_main_bins_only,independent_matched_delay_pool
short_term_ridge_proxy,action_13,-0.05168321104095863,4.0,history_standard_only,completed_history_plus_earlier_main_bins_only,independent_matched_delay_pool
