check_id,status,expected,observed
experiment_id,PASS,exp2_logged_attribution_sensitivity,exp2_logged_attribution_sensitivity
source_time_action_unit,PASS,campaign_source_day_cell,campaign_source_day_cell
action_definition_is_campaign_source_day,PASS,action_id = campaign x source_day,"{'action_unit': 'campaign_source_day_cell', 'candidate_campaign_count_requested': 50, 'candidate_campaign_count_minimum': 20, 'min_conversion_rows_per_campaign': 100, 'source_time_bin': 'calendar_day', 'min_impressions_per_decision_cell': 50, 'minimum_eligible_decision_cells': 60, 'main_top_k': 10, 'sensitivity_top_k': [10, 20, 50]}"
main_top_k,PASS,main_top_k=10,10
main_cost_lambda_zero,PASS,primary credit summaries use cost_lambda=0,0.0
em_appendix_only,PASS,EM computed for diagnostic but omitted from main figure,"['arrival_bin_anchor', 'first_click', 'last_click', 'linear_attribution', 'time_decay_soft']"
run_status,PASS,"mode=fast, status in ['success'] or completed through tables with render_regressions-only failure","{'experiment_id': 'exp2_logged_attribution_sensitivity', 'mode': 'fast', 'status': 'success', 'updated_at': '2026-06-24T19:04:30', 'expected_uid_bootstrap_replicates': 200, 'input_file': '/home/ubuntu/crmd_df/exp2_real_delayed_conversion_logs/inputs/pcb_dataset_final.tsv', 'config_path': '/home/ubuntu/crmd_df/exp2_real_delayed_conversion_logs/.runtime/config_exp2_fast.yaml', 'steps': [{'step': 'precheck', 'command': ['/home/ubuntu/crmd_df/exp2_real_delayed_conversion_logs/.venv/bin/python', 'run_precheck.py', '--config', '/home/ubuntu/crmd_df/exp2_real_delayed_conversion_logs/.runtime/config_exp2_fast.yaml'], 'return_code': 0, 'started_at': '2026-06-24T18:31:19', 'finished_at': '2026-06-24T18:39:02', 'elapsed_seconds': 462.594}, {'step': 'timeline', 'command': ['/home/ubuntu/crmd_df/exp2_real_delayed_conversion_logs/.venv/bin/python', 'construct_timeline.py', '--config', '/home/ubuntu/crmd_df/exp2_real_delayed_conversion_logs/.runtime/config_exp2_fast.yaml'], 'return_code': 0, 'started_at': '2026-06-24T18:39:02', 'finished_at': '2026-06-24T18:43:51', 'elapsed_seconds': 289.529}, {'step': 'route_assignment', 'command': ['/home/ubuntu/crmd_df/exp2_real_delayed_conversion_logs/.venv/bin/python', 'run_exp2.py', '--config', '/home/ubuntu/crmd_df/exp2_real_delayed_conversion_logs/.runtime/config_exp2_fast.yaml'], 'return_code': 0, 'started_at': '2026-06-24T18:43:51', 'finished_at': '2026-06-24T18:48:41', 'elapsed_seconds': 289.981}, {'step': 'statistics', 'command': ['/home/ubuntu/crmd_df/exp2_real_delayed_conversion_logs/.venv/bin/python', 'stats_exp2.py', '--config', '/home/ubuntu/crmd_df/exp2_real_delayed_conversion_logs/.runtime/config_exp2_fast.yaml'], 'return_code': 0, 'started_at': '2026-06-24T18:48:41', 'finished_at': '2026-06-24T19:04:13', 'elapsed_seconds': 931.739}, {'step': 'figures', 'command': ['/home/ubuntu/crmd_df/exp2_real_delayed_conversion_logs/.venv/bin/python', 'plot_exp2.py', '--config', '/home/ubuntu/crmd_df/exp2_real_delayed_conversion_logs/.runtime/config_exp2_fast.yaml'], 'return_code': 0, 'started_at': '2026-06-24T19:04:13', 'finished_at': '2026-06-24T19:04:17', 'elapsed_seconds': 3.911}, {'step': 'tables', 'command': ['/home/ubuntu/crmd_df/exp2_real_delayed_conversion_logs/.venv/bin/python', 'make_tables_exp2.py', '--config', '/home/ubuntu/crmd_df/exp2_real_delayed_conversion_logs/.runtime/config_exp2_fast.yaml'], 'return_code': 0, 'started_at': '2026-06-24T19:04:17', 'finished_at': '2026-06-24T19:04:19', 'elapsed_seconds': 2.49}, {'step': 'self_check', 'command': ['/home/ubuntu/crmd_df/exp2_real_delayed_conversion_logs/.venv/bin/python', 'self_check_exp2.py', '--config', '/home/ubuntu/crmd_df/exp2_real_delayed_conversion_logs/.runtime/config_exp2_fast.yaml', '--mode', 'fast', '--allow-running'], 'return_code': 0, 'started_at': '2026-06-24T19:04:19', 'finished_at': '2026-06-24T19:04:30', 'elapsed_seconds': 10.532}], 'finished_at': '2026-06-24T19:04:30', 'parallel': {'n_jobs': 'auto', 'host_logical_cpus': 32, 'resolved_bootstrap_workers': 4}, 'input_identity': {'path': '/home/ubuntu/crmd_df/exp2_real_delayed_conversion_logs/inputs/pcb_dataset_final.tsv', 'size_bytes': 2589891984, 'modified_at': '2017-08-31T20:53:28', 'partial_sha256': 'a860f86cb9142c0f797ec34a2ad89f6773b3ea8ded565fd056b28a05b741b0e9', 'partial_sha256_scheme': 'sha256(first_1048576_bytes_plus_last_1048576_bytes)'}}"
uid_integrity_audit,PASS,valid one-UID conversion journeys retained,rows=13
uid_minus_one_sentinel_audit,PASS,UID -1 sentinel counts are recorded in the integrity audit,"{'candidate_rows_before_identifier_filter': 279231.0, 'candidate_rows_missing_conversion_id': 0.0, 'candidate_rows_after_conversion_id_filter': 279231.0, 'conversion_ids_total_with_valid_conversion_id': 145562.0, 'conversion_ids_valid_one_uid': 145252.0, 'conversion_ids_missing_uid': 0.0, 'conversion_ids_uid_sentinel_minus_one': 0.0, 'candidate_rows_uid_sentinel_minus_one': 0.0, 'conversion_ids_cross_uid': 310.0, 'candidate_rows_retained_after_uid_integrity_filter': 278081.0, 'conversion_id_retention_rate': 0.9978703232986632, 'candidate_rows_missing_conversion_id_before_persistence': 0.0, 'candidate_rows_conversion_after_analysis_end_excluded': 182794.0}"
action_cell_universe,PASS,>=60 eligible cells,1546
top_k_non_degenerate,PASS,action universe > max top_k=50,1546
action_cell_universe_exceeds_max_top_k,PASS,action universe > max top_k=50,1546
main_cohort_uid_contract,PASS,one valid non-sentinel UID per main conversion,rows=145248
candidate_cohorts_present,PASS,main and audit cohorts,"['all_conversion_candidates', 'unique_labelled_conversion_candidates']"
main_cohort_has_nontrivial_multicell_journeys,PASS,main cohort has multi decision-cell journeys,0.2772499449217889
decision_cell_ambiguity_rate_above_threshold,PASS,>=0.01,0.2772499449217889
