delay_condition,method_id,replication_kind,point_estimate,top_action_match_rate,policy_value,oracle_value,n_label_mask_trajectories,n_decision_bins,method_display_name,information_interface,reference_role,diagnostic_only,deployable
action_value_coupled_matched_delay_pool,arrival_time_naive,fixed_trajectory,0.07775685270626514,0.3888888888888889,3.181478264112586,3.259235116818851,1,18,Arrival-time carrier,arrival_time_carrier,none,False,False
action_value_coupled_matched_delay_pool,history_ewma_ridge_proxy,fixed_history_fitted_proxy,0.024835709952348604,0.5555555555555556,3.234399406866502,3.259235116818851,1,18,History EWMA ridge proxy,history_plus_lagged_proxy,none,True,False
action_value_coupled_matched_delay_pool,history_mean_static,fixed_history_fitted_proxy,0.02913638342301746,0.5,3.230098733395833,3.259235116818851,1,18,History mean static,history_target_mean_only,diagnostic_control,True,False
action_value_coupled_matched_delay_pool,partial_source_label_q10,label_mask,0.058247557564024756,0.4259259259259259,3.2009875592548256,3.2592351168188514,3,18,"Partial source labels, q=0.10",partial_source_label,none,False,False
action_value_coupled_matched_delay_pool,partial_source_label_q30,label_mask,0.05903830553187262,0.4259259259259259,3.2001968112869776,3.2592351168188514,3,18,"Partial source labels, q=0.30",partial_source_label,none,False,False
action_value_coupled_matched_delay_pool,partial_source_label_q50,label_mask,0.05874973654257538,0.46296296296296297,3.2004853802762754,3.2592351168188514,3,18,"Partial source labels, q=0.50",partial_source_label,none,False,False
action_value_coupled_matched_delay_pool,short_term_composite_surrogate,fixed_history_fitted_proxy,0.04630657600192288,0.3888888888888889,3.2129285408169275,3.259235116818851,1,18,Short-term composite surrogate,lagged_composite_proxy,none,False,False
action_value_coupled_matched_delay_pool,short_term_ridge_proxy,fixed_history_fitted_proxy,0.024835709952348604,0.5555555555555556,3.234399406866502,3.259235116818851,1,18,Short-term ridge proxy,lagged_short_term_proxy,none,False,False
action_value_coupled_matched_delay_pool,source_aware_reference,offline_reference,0.0,1.0,3.259235116818851,3.259235116818851,1,18,Source-aware reference,offline_source_target,source_aware_reference,False,False
action_value_coupled_matched_delay_pool,source_labelled_empirical,fixed_trajectory,0.05180530042379981,0.6111111111111112,3.2074298163950505,3.259235116818851,1,18,Source-labelled empirical,source_labelled,source_labelled_control,True,False
independent_matched_delay_pool,arrival_time_naive,fixed_trajectory,0.05850998420827566,0.3888888888888889,3.200725132610575,3.259235116818851,1,18,Arrival-time carrier,arrival_time_carrier,none,False,False
independent_matched_delay_pool,history_ewma_ridge_proxy,fixed_history_fitted_proxy,0.024835709952348604,0.5555555555555556,3.234399406866502,3.259235116818851,1,18,History EWMA ridge proxy,history_plus_lagged_proxy,none,True,False
independent_matched_delay_pool,history_mean_static,fixed_history_fitted_proxy,0.02913638342301746,0.5,3.230098733395833,3.259235116818851,1,18,History mean static,history_target_mean_only,diagnostic_control,True,False
independent_matched_delay_pool,partial_source_label_q10,label_mask,0.05850998420827566,0.3888888888888889,3.200725132610575,3.2592351168188514,3,18,"Partial source labels, q=0.10",partial_source_label,none,False,False
independent_matched_delay_pool,partial_source_label_q30,label_mask,0.06274897341867862,0.3703703703703704,3.196486143400172,3.2592351168188514,3,18,"Partial source labels, q=0.30",partial_source_label,none,False,False
independent_matched_delay_pool,partial_source_label_q50,label_mask,0.06712145536585075,0.4444444444444444,3.192113661453,3.2592351168188514,3,18,"Partial source labels, q=0.50",partial_source_label,none,False,False
independent_matched_delay_pool,short_term_composite_surrogate,fixed_history_fitted_proxy,0.04630657600192288,0.3888888888888889,3.2129285408169275,3.259235116818851,1,18,Short-term composite surrogate,lagged_composite_proxy,none,False,False
independent_matched_delay_pool,short_term_ridge_proxy,fixed_history_fitted_proxy,0.024835709952348604,0.5555555555555556,3.234399406866502,3.259235116818851,1,18,Short-term ridge proxy,lagged_short_term_proxy,none,False,False
independent_matched_delay_pool,source_aware_reference,offline_reference,0.0,1.0,3.259235116818851,3.259235116818851,1,18,Source-aware reference,offline_source_target,source_aware_reference,False,False
independent_matched_delay_pool,source_labelled_empirical,fixed_trajectory,0.06340156222027288,0.6111111111111112,3.1958335545985777,3.259235116818851,1,18,Source-labelled empirical,source_labelled,source_labelled_control,True,False
