path,status,category
exp4/configuration/schema.py,modified,main_table_contract
exp4/execution/aggregation_stage.py,modified,control_tier
exp4/outputs/writers.py,modified,provenance_hash
exp4/pipeline.py,modified,stage_provenance_wiring
exp4/reporting/aggregate_module_a.py,modified,precision_gate
exp4/reporting/aggregate_module_c.py,modified,control_tier
exp4/reporting/tables.py,modified,main_table_generator
exp4/reporting/implementation_status.py,added,status_report
exp4/validation/invariants.py,modified,precision_scientific_check
exp4/validation/precision_checks.py,added,precision_validation
exp4/validation/runner.py,modified,engineering_checks
exp4/validation/run_provenance.py,added,provenance_audit
exp4/validation/table_checks.py,added,table_semantic_validation
main.py,modified,cli_status_and_provenance
promote_results.py,modified,promotion_gates_and_dry_run
reports/EXP4_V2_IMPLEMENTATION_STATUS.md,modified,status_report_auto
reports/EXP4_FULL_PROVENANCE_AUDIT.md,added,provenance_audit
reports/EXP4_FULL_PROVENANCE_AUDIT.json,added,provenance_audit
tests/regression/test_post_full_fix_regression.py,added,regression_tests
tests/unit/test_table_checks.py,added,table_tests
tests/unit/test_precision_checks.py,added,precision_tests
tests/unit/test_run_provenance.py,added,provenance_tests
tests/unit/test_implementation_status.py,added,status_tests
outputs/runs/full_20260806T021401Z_5627f17b/checks/exp4_promotion_check.json,modified,promotion_dry_run_result
