delay,count,probability
1,81509,0.8149370125974805
2,2006,0.020065986802639473
3,2022,0.02022595480903819
4,2134,0.021345730853829233
5,1983,0.019836032793441313
6,1926,0.01926614677064587
7,1549,0.015496900619876025
8,1063,0.010637872425514897
9,1687,0.016876624675064986
10,1948,0.01948610277944411
11,1697,0.016976604679064186
12,460,0.004609078184363127
13,15,0.00015996800639872026
14,1,1.9996000799840032e-05
15,0,9.998000399920016e-06
16,0,9.998000399920016e-06
17,0,9.998000399920016e-06
18,0,9.998000399920016e-06
19,0,9.998000399920016e-06
20,0,9.998000399920016e-06
