check_id,category,status,detail,pipeline_execution_status,independent_self_check_status,archival_integrity_check_status,final_engineering_status,scientific_contract_status,scientific_uncertainty_status,figure_data_contracts,artifact_manifest_status
artifact_manifest_frozen_hashes,engineering,PASS,verified 103 complete-run frozen artifact hashes,PASS,PASS,NOT_RUN,PASS,PASS,SENSITIVITY_ONLY_ACCEPTED,PASS,PASS
code_version_consistency,engineering,PASS,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0,PASS,PASS,NOT_RUN,PASS,PASS,SENSITIVITY_ONLY_ACCEPTED,PASS,PASS
pipeline_completed,engineering,PASS,PASS,PASS,PASS,NOT_RUN,PASS,PASS,SENSITIVITY_ONLY_ACCEPTED,PASS,PASS
timezone_rule,scientific,PASS,Asia/Shanghai_epoch_day,PASS,PASS,NOT_RUN,PASS,PASS,SENSITIVITY_ONLY_ACCEPTED,PASS,PASS
interval_convention,scientific,PASS,left_closed_right_open,PASS,PASS,NOT_RUN,PASS,PASS,SENSITIVITY_ONLY_ACCEPTED,PASS,PASS
strict_temporal_split,scientific,PASS,history ends before evaluation,PASS,PASS,NOT_RUN,PASS,PASS,SENSITIVITY_ONLY_ACCEPTED,PASS,PASS
boundary_quarantine_within_frozen_limits,scientific,PASS,history=0.042277%; evaluation=0.035808%,PASS,PASS,NOT_RUN,PASS,PASS,SENSITIVITY_ONLY_ACCEPTED,PASS,PASS
boundary_quarantine_reported,engineering,PASS,status=PASS_WITH_BOUNDARY_QUARANTINE; count=4159,PASS,PASS,NOT_RUN,PASS,PASS,SENSITIVITY_ONLY_ACCEPTED,PASS,PASS
boundary_quarantine_summary_reconstruction,engineering,PASS,"boundary quarantine table reconstructs counts, fractions, policy, and frozen tolerances",PASS,PASS,NOT_RUN,PASS,PASS,SENSITIVITY_ONLY_ACCEPTED,PASS,PASS
history_target_window_contract,scientific,PASS,"verified_events=4643582; window=[t,t+6h)",PASS,PASS,NOT_RUN,PASS,PASS,SENSITIVITY_ONLY_ACCEPTED,PASS,PASS
evaluation_target_window_contract,scientific,PASS,"verified_events=6127661; window=[t,t+6h)",PASS,PASS,NOT_RUN,PASS,PASS,SENSITIVITY_ONLY_ACCEPTED,PASS,PASS
target_reuse_summary_reconstruction,engineering,PASS,"data-dependence table reconstructs user counts, target reuse, and events-per-user summaries",PASS,PASS,NOT_RUN,PASS,PASS,SENSITIVITY_ONLY_ACCEPTED,PASS,PASS
target_component_audit_reconstruction,scientific,PASS,target component audit reconstructs,PASS,PASS,NOT_RUN,PASS,PASS,SENSITIVITY_ONLY_ACCEPTED,PASS,PASS
dependence_structure_disclosed,scientific,PASS,dependence quantiles and resampling selection-switch diagnostics are bounded and disclosed,PASS,PASS,NOT_RUN,PASS,PASS,SENSITIVITY_ONLY_ACCEPTED,PASS,PASS
candidate_action_count,scientific,PASS,candidate_count=20,PASS,PASS,NOT_RUN,PASS,PASS,SENSITIVITY_ONLY_ACCEPTED,PASS,PASS
residual_excluded,scientific,PASS,residual excluded,PASS,PASS,NOT_RUN,PASS,PASS,SENSITIVITY_ONLY_ACCEPTED,PASS,PASS
group_fold_salts_separated,scientific,PASS,separate salts,PASS,PASS,NOT_RUN,PASS,PASS,SENSITIVITY_ONLY_ACCEPTED,PASS,PASS
